,time,note,scale degree,length,start,end,numeral,chromatic root,diatonic root,key,absolute root
0,0.0,62.0,6.0,0.167,0.0,2.0,i,0,1,8,8
1,0.167,61.0,5.0,0.166,0.0,2.0,i,0,1,8,8
2,0.333,59.0,3.0,0.1669999999999999,0.0,2.0,i,0,1,8,8
3,0.5,61.0,5.0,0.167,0.0,2.0,i,0,1,8,8
4,0.667,56.0,0.0,0.1659999999999999,0.0,2.0,i,0,1,8,8
5,0.833,56.0,0.0,0.167,0.0,2.0,i,0,1,8,8
6,1.0,56.0,0.0,0.1739999999999999,0.0,2.0,i,0,1,8,8
7,1.174,59.0,3.0,0.0430000000000001,0.0,2.0,i,0,1,8,8
8,1.217,59.0,3.0,0.0439999999999998,0.0,2.0,i,0,1,8,8
9,1.261,61.0,5.0,0.0430000000000001,0.0,2.0,i,0,1,8,8
10,1.304,59.0,3.0,0.044,0.0,2.0,i,0,1,8,8
11,1.348,62.0,6.0,0.0429999999999999,0.0,2.0,i,0,1,8,8
12,1.391,59.0,3.0,0.044,0.0,2.0,i,0,1,8,8
13,1.435,62.0,6.0,0.0429999999999999,0.0,2.0,i,0,1,8,8
14,1.478,59.0,3.0,0.044,0.0,2.0,i,0,1,8,8
15,1.522,61.0,5.0,0.0429999999999999,0.0,2.0,i,0,1,8,8
16,1.565,59.0,3.0,0.044,0.0,2.0,i,0,1,8,8
17,1.609,56.0,0.0,0.1739999999999999,0.0,2.0,i,0,1,8,8
18,1.783,59.0,3.0,0.0430000000000001,0.0,2.0,i,0,1,8,8
19,1.826,56.0,0.0,0.044,0.0,2.0,i,0,1,8,8
20,1.87,56.0,0.0,0.0429999999999999,0.0,2.0,i,0,1,8,8
21,1.913,54.0,10.0,0.044,0.0,2.0,i,0,1,8,8
22,1.957,56.0,0.0,1.043,0.0,2.0,i,0,1,8,8
23,3.0,71.0,3.0,0.1739999999999999,2.0,3.0,iv7,5,4,8,1
24,3.174,68.0,0.0,0.1739999999999999,3.0,6.0,i,0,1,8,8
25,3.348,63.0,7.0,0.0430000000000001,3.0,6.0,i,0,1,8,8
26,3.391,63.0,7.0,0.044,3.0,6.0,i,0,1,8,8
27,3.435,61.0,5.0,0.0430000000000001,3.0,6.0,i,0,1,8,8
28,3.478,63.0,7.0,0.0439999999999995,3.0,6.0,i,0,1,8,8
29,3.522,66.0,10.0,0.1740000000000003,3.0,6.0,i,0,1,8,8
30,3.696,63.0,7.0,0.0429999999999997,3.0,6.0,i,0,1,8,8
31,3.739,61.0,5.0,0.044,3.0,6.0,i,0,1,8,8
32,3.783,63.0,7.0,0.0430000000000001,3.0,6.0,i,0,1,8,8
33,3.826,61.0,5.0,0.044,3.0,6.0,i,0,1,8,8
34,3.87,63.0,7.0,0.0429999999999997,3.0,6.0,i,0,1,8,8
35,3.913,61.0,5.0,0.044,3.0,6.0,i,0,1,8,8
36,3.957,63.0,7.0,3.543,3.0,6.0,i,0,1,8,8
37,7.5,62.0,6.0,0.0620000000000002,7.0,8.0,i,0,1,8,8
38,7.562,61.0,5.0,0.0629999999999997,7.0,8.0,i,0,1,8,8
39,7.625,59.0,3.0,0.0629999999999997,7.0,8.0,i,0,1,8,8
40,7.688,59.0,3.0,0.0620000000000002,7.0,8.0,i,0,1,8,8
41,7.75,61.0,5.0,0.125,7.0,8.0,i,0,1,8,8
42,7.875,56.0,0.0,0.125,7.0,8.0,i,0,1,8,8
43,8.0,56.0,0.0,1.375,7.0,8.0,i,0,1,8,8
44,9.375,59.0,3.0,0.0630000000000006,9.0,10.0,i,0,1,8,8
45,9.438,59.0,3.0,0.0619999999999993,9.0,10.0,i,0,1,8,8
46,9.5,56.0,0.0,0.0619999999999993,9.0,10.0,i,0,1,8,8
47,9.562,56.0,0.0,0.1880000000000006,9.0,10.0,i,0,1,8,8
48,9.75,61.0,5.0,0.125,9.0,10.0,i,0,1,8,8
49,9.875,59.0,3.0,0.125,9.0,10.0,i,0,1,8,8
50,10.0,59.0,3.0,0.125,9.0,10.0,i,0,1,8,8
51,10.125,56.0,0.0,0.0630000000000006,10.0,12.0,bIII,3,3,8,11
52,10.188,54.0,10.0,0.0619999999999993,10.0,12.0,bIII,3,3,8,11
53,10.25,54.0,10.0,0.0619999999999993,10.0,12.0,bIII,3,3,8,11
54,10.312,56.0,0.0,0.0630000000000006,10.0,12.0,bIII,3,3,8,11
55,10.375,59.0,3.0,0.5,10.0,12.0,bIII,3,3,8,11
56,10.875,54.0,10.0,0.0630000000000006,10.0,12.0,bIII,3,3,8,11
57,10.938,56.0,0.0,0.1239999999999987,10.0,12.0,bIII,3,3,8,11
58,11.062,56.0,0.0,0.0630000000000006,10.0,12.0,bIII,3,3,8,11
59,11.125,54.0,10.0,0.125,10.0,12.0,bIII,3,3,8,11
60,11.25,56.0,0.0,0.625,10.0,12.0,bIII,3,3,8,11
61,11.875,62.0,6.0,0.0630000000000006,10.0,12.0,bIII,3,3,8,11
62,11.938,59.0,3.0,0.1239999999999987,10.0,12.0,bIII,3,3,8,11
63,12.062,61.0,5.0,0.1260000000000012,12.0,12.5,i,0,1,8,8
64,12.188,59.0,3.0,0.0619999999999993,12.0,12.5,i,0,1,8,8
