,time,note,scale degree,length,start,end,numeral,chromatic root,diatonic root,key,absolute root
0,7.875,53.0,0.0,0.125,7.0,8.0,V,7,5,5,0
1,8.0,60.0,7.0,0.125,7.0,8.0,V,7,5,5,0
2,8.125,60.0,7.0,0.375,8.0,9.0,I,0,1,5,5
3,8.5,60.0,7.0,0.875,8.0,9.0,I,0,1,5,5
4,9.375,58.0,5.0,0.25,9.0,10.0,IV,5,4,5,10
5,9.625,58.0,5.0,0.25,9.0,10.0,IV,5,4,5,10
6,9.875,58.0,5.0,0.25,9.0,10.0,IV,5,4,5,10
7,10.125,57.0,4.0,0.0630000000000006,10.0,10.5,I,0,1,5,5
8,10.188,55.0,2.0,0.0619999999999993,10.0,10.5,I,0,1,5,5
9,10.25,53.0,0.0,1.5,10.0,10.5,I,0,1,5,5
10,11.75,57.0,4.0,0.125,11.5,12.0,V7,7,5,5,0
11,11.875,60.0,7.0,0.125,11.5,12.0,V7,7,5,5,0
12,12.0,60.0,7.0,0.125,11.5,12.0,V7,7,5,5,0
13,12.125,60.0,7.0,0.125,12.0,13.0,I,0,1,5,5
14,12.25,60.0,7.0,0.125,12.0,13.0,I,0,1,5,5
15,12.375,60.0,7.0,0.25,12.0,13.0,I,0,1,5,5
16,12.625,60.0,7.0,0.25,12.0,13.0,I,0,1,5,5
17,12.875,60.0,7.0,0.125,12.0,13.0,I,0,1,5,5
18,13.0,60.0,7.0,0.25,12.0,13.0,I,0,1,5,5
19,13.25,60.0,7.0,0.125,13.0,14.0,V,7,5,5,0
20,13.375,60.0,7.0,0.25,13.0,14.0,V,7,5,5,0
21,13.625,58.0,5.0,0.25,13.0,14.0,V,7,5,5,0
22,13.875,58.0,5.0,0.125,13.0,14.0,V,7,5,5,0
23,14.0,58.0,5.0,0.125,13.0,14.0,V,7,5,5,0
24,14.125,58.0,5.0,0.25,14.0,17.0,IV,5,4,5,10
25,14.375,57.0,4.0,0.125,14.0,17.0,IV,5,4,5,10
26,14.5,55.0,2.0,0.125,14.0,17.0,IV,5,4,5,10
27,14.625,53.0,0.0,1.0,14.0,17.0,IV,5,4,5,10
28,15.625,58.0,5.0,0.375,14.0,17.0,IV,5,4,5,10
29,16.0,58.0,5.0,0.125,14.0,17.0,IV,5,4,5,10
30,16.125,58.0,5.0,0.125,14.0,17.0,IV,5,4,5,10
31,16.25,58.0,5.0,0.125,14.0,17.0,IV,5,4,5,10
32,16.375,58.0,5.0,0.125,14.0,17.0,IV,5,4,5,10
33,16.5,57.0,4.0,0.125,14.0,17.0,IV,5,4,5,10
34,16.625,57.0,4.0,0.125,14.0,17.0,IV,5,4,5,10
35,16.75,57.0,4.0,0.125,14.0,17.0,IV,5,4,5,10
36,16.875,57.0,4.0,0.125,14.0,17.0,IV,5,4,5,10
37,17.0,57.0,4.0,0.125,14.0,17.0,IV,5,4,5,10
38,17.125,55.0,2.0,0.125,17.0,18.0,V,7,5,5,0
39,17.25,55.0,2.0,0.375,17.0,18.0,V,7,5,5,0
40,17.625,57.0,4.0,0.25,17.0,18.0,V,7,5,5,0
41,17.875,57.0,4.0,0.125,17.0,18.0,V,7,5,5,0
42,18.0,57.0,4.0,0.125,17.0,18.0,V,7,5,5,0
43,18.125,57.0,4.0,0.125,18.0,19.0,I,0,1,5,5
44,18.25,57.0,4.0,0.125,18.0,19.0,I,0,1,5,5
45,18.375,57.0,4.0,0.25,18.0,19.0,I,0,1,5,5
46,18.625,60.0,7.0,0.25,18.0,19.0,I,0,1,5,5
47,18.875,60.0,7.0,0.125,18.0,19.0,I,0,1,5,5
48,19.0,58.0,5.0,0.125,18.0,19.0,I,0,1,5,5
49,19.125,58.0,5.0,0.5,19.0,21.0,IV,5,4,5,10
50,19.625,60.0,7.0,0.125,19.0,21.0,IV,5,4,5,10
51,19.75,60.0,7.0,0.125,19.0,21.0,IV,5,4,5,10
52,19.875,60.0,7.0,0.125,19.0,21.0,IV,5,4,5,10
53,20.0,60.0,7.0,0.125,19.0,21.0,IV,5,4,5,10
54,20.125,58.0,5.0,0.125,19.0,21.0,IV,5,4,5,10
55,20.25,58.0,5.0,0.125,19.0,21.0,IV,5,4,5,10
56,20.375,58.0,5.0,0.25,19.0,21.0,IV,5,4,5,10
57,20.625,58.0,5.0,0.25,19.0,21.0,IV,5,4,5,10
58,20.875,58.0,5.0,0.25,19.0,21.0,IV,5,4,5,10
59,21.125,57.0,4.0,0.25,21.0,22.0,I,0,1,5,5
60,21.375,57.0,4.0,0.25,21.0,22.0,I,0,1,5,5
61,21.625,57.0,4.0,0.25,21.0,22.0,I,0,1,5,5
62,21.875,57.0,4.0,0.25,21.0,22.0,I,0,1,5,5
63,22.125,57.0,4.0,0.125,22.0,24.0,V,7,5,5,0
64,22.25,57.0,4.0,0.125,22.0,24.0,V,7,5,5,0
65,22.375,55.0,2.0,0.25,22.0,24.0,V,7,5,5,0
66,22.625,55.0,2.0,0.125,22.0,24.0,V,7,5,5,0
67,22.75,55.0,2.0,0.875,22.0,24.0,V,7,5,5,0
68,23.625,60.0,7.0,0.375,22.0,24.0,V,7,5,5,0
69,24.0,60.0,7.0,0.125,22.0,24.0,V,7,5,5,0
70,24.125,60.0,7.0,0.125,24.0,25.0,I,0,1,5,5
71,24.25,60.0,7.0,0.125,24.0,25.0,I,0,1,5,5
72,24.375,60.0,7.0,0.375,24.0,25.0,I,0,1,5,5
73,24.75,60.0,7.0,0.125,24.0,25.0,I,0,1,5,5
74,24.875,58.0,5.0,0.125,24.0,25.0,I,0,1,5,5
75,25.0,58.0,5.0,0.125,24.0,25.0,I,0,1,5,5
76,25.125,58.0,5.0,0.375,25.0,26.0,IV,5,4,5,10
77,25.5,58.0,5.0,0.125,25.0,26.0,IV,5,4,5,10
78,25.625,57.0,4.0,0.125,25.0,26.0,IV,5,4,5,10
79,25.75,57.0,4.0,0.125,25.0,26.0,IV,5,4,5,10
80,25.875,57.0,4.0,0.25,25.0,26.0,IV,5,4,5,10
81,26.125,57.0,4.0,0.0629999999999988,26.0,26.5,I,0,1,5,5
82,26.188,55.0,2.0,0.0620000000000011,26.0,26.5,I,0,1,5,5
83,26.25,53.0,0.0,1.375,26.0,26.5,I,0,1,5,5
84,27.625,57.0,4.0,0.125,27.5,28.0,V7,7,5,5,0
85,27.75,60.0,7.0,0.125,27.5,28.0,V7,7,5,5,0
86,27.875,60.0,7.0,0.375,27.5,28.0,V7,7,5,5,0
87,28.25,60.0,7.0,0.125,28.0,29.0,I,0,1,5,5
88,28.375,60.0,7.0,0.125,28.0,29.0,I,0,1,5,5
89,28.5,60.0,7.0,0.125,28.0,29.0,I,0,1,5,5
90,28.625,60.0,7.0,0.125,28.0,29.0,I,0,1,5,5
91,28.75,60.0,7.0,0.25,28.0,29.0,I,0,1,5,5
92,29.0,60.0,7.0,0.125,28.0,29.0,I,0,1,5,5
93,29.125,60.0,7.0,0.125,29.0,30.0,V,7,5,5,0
94,29.25,60.0,7.0,0.125,29.0,30.0,V,7,5,5,0
95,29.375,60.0,7.0,0.25,29.0,30.0,V,7,5,5,0
96,29.625,60.0,7.0,0.25,29.0,30.0,V,7,5,5,0
97,29.875,62.0,9.0,0.625,29.0,30.0,V,7,5,5,0
98,30.5,60.0,7.0,0.25,30.0,33.0,IV,5,4,5,10
99,30.75,60.0,7.0,0.125,30.0,33.0,IV,5,4,5,10
100,30.875,58.0,5.0,0.625,30.0,33.0,IV,5,4,5,10
101,31.5,65.0,0.0,0.125,30.0,33.0,IV,5,4,5,10
102,31.625,65.0,0.0,0.125,30.0,33.0,IV,5,4,5,10
103,31.75,65.0,0.0,0.125,30.0,33.0,IV,5,4,5,10
104,31.875,65.0,0.0,0.125,30.0,33.0,IV,5,4,5,10
105,32.0,65.0,0.0,0.25,30.0,33.0,IV,5,4,5,10
106,32.25,58.0,5.0,0.125,30.0,33.0,IV,5,4,5,10
107,32.375,58.0,5.0,0.25,30.0,33.0,IV,5,4,5,10
108,32.625,58.0,5.0,0.125,30.0,33.0,IV,5,4,5,10
109,32.75,58.0,5.0,0.125,30.0,33.0,IV,5,4,5,10
110,32.875,57.0,4.0,0.125,30.0,33.0,IV,5,4,5,10
111,33.0,57.0,4.0,0.125,30.0,33.0,IV,5,4,5,10
112,33.125,55.0,2.0,0.5,33.0,34.0,V,7,5,5,0
113,33.625,57.0,4.0,0.125,33.0,34.0,V,7,5,5,0
114,33.75,57.0,4.0,0.125,33.0,34.0,V,7,5,5,0
115,33.875,57.0,4.0,0.125,33.0,34.0,V,7,5,5,0
116,34.0,57.0,4.0,0.125,33.0,34.0,V,7,5,5,0
117,34.125,57.0,4.0,0.125,34.0,35.0,I,0,1,5,5
118,34.25,57.0,4.0,0.125,34.0,35.0,I,0,1,5,5
119,34.375,58.0,5.0,0.25,34.0,35.0,I,0,1,5,5
120,34.625,58.0,5.0,0.125,34.0,35.0,I,0,1,5,5
121,34.75,60.0,7.0,0.25,34.0,35.0,I,0,1,5,5
122,35.0,60.0,7.0,0.25,34.0,35.0,I,0,1,5,5
123,35.25,58.0,5.0,1.125,35.0,37.0,IV,5,4,5,10
124,36.375,62.0,9.0,0.5,35.0,37.0,IV,5,4,5,10
125,36.875,60.0,7.0,0.125,35.0,37.0,IV,5,4,5,10
126,37.0,60.0,7.0,0.125,35.0,37.0,IV,5,4,5,10
127,37.125,60.0,7.0,0.375,37.0,38.0,I,0,1,5,5
128,37.5,58.0,5.0,0.125,37.0,38.0,I,0,1,5,5
129,37.625,57.0,4.0,0.25,37.0,38.0,I,0,1,5,5
130,37.875,53.0,0.0,0.125,37.0,38.0,I,0,1,5,5
131,38.0,52.0,11.0,1.625,37.0,38.0,I,0,1,5,5
132,39.625,53.0,0.0,0.125,38.0,40.0,V,7,5,5,0
133,39.75,53.0,0.0,0.125,38.0,40.0,V,7,5,5,0
134,39.875,53.0,0.0,0.375,38.0,40.0,V,7,5,5,0
135,40.25,53.0,0.0,0.125,40.0,41.0,I,0,1,5,5
136,40.375,53.0,0.0,0.125,40.0,41.0,I,0,1,5,5
137,40.5,57.0,4.0,0.125,40.0,41.0,I,0,1,5,5
138,40.625,57.0,4.0,0.125,40.0,41.0,I,0,1,5,5
139,40.75,60.0,7.0,0.25,40.0,41.0,I,0,1,5,5
140,41.0,62.0,9.0,0.125,40.0,41.0,I,0,1,5,5
141,41.125,60.0,7.0,0.125,41.0,42.0,vi,9,6,5,2
142,41.25,57.0,4.0,0.125,41.0,42.0,vi,9,6,5,2
143,41.375,60.0,7.0,0.5,41.0,42.0,vi,9,6,5,2
144,41.875,53.0,0.0,0.125,41.0,42.0,vi,9,6,5,2
145,42.0,53.0,0.0,0.125,41.0,42.0,vi,9,6,5,2
146,42.125,53.0,0.0,0.125,42.0,43.0,I,0,1,5,5
147,42.25,53.0,0.0,0.125,42.0,43.0,I,0,1,5,5
148,42.375,53.0,0.0,0.125,42.0,43.0,I,0,1,5,5
149,42.5,57.0,4.0,0.125,42.0,43.0,I,0,1,5,5
150,42.625,57.0,4.0,0.25,42.0,43.0,I,0,1,5,5
151,42.875,60.0,7.0,0.25,42.0,43.0,I,0,1,5,5
152,43.125,60.0,7.0,0.25,43.0,44.0,IV,5,4,5,10
153,43.375,58.0,5.0,0.125,43.0,44.0,IV,5,4,5,10
154,43.5,58.0,5.0,0.125,43.0,44.0,IV,5,4,5,10
155,43.625,57.0,4.0,0.125,43.0,44.0,IV,5,4,5,10
156,43.75,55.0,2.0,0.625,43.0,44.0,IV,5,4,5,10
157,44.375,57.0,4.0,0.25,44.0,45.0,I,0,1,5,5
158,44.625,60.0,7.0,0.125,44.0,45.0,I,0,1,5,5
159,44.75,60.0,7.0,0.125,44.0,45.0,I,0,1,5,5
160,44.875,60.0,7.0,0.125,44.0,45.0,I,0,1,5,5
161,45.0,57.0,4.0,0.125,44.0,45.0,I,0,1,5,5
162,45.125,60.0,7.0,0.125,45.0,46.0,iii,4,3,5,9
163,45.25,60.0,7.0,0.125,45.0,46.0,iii,4,3,5,9
164,45.375,60.0,7.0,0.125,45.0,46.0,iii,4,3,5,9
165,45.5,62.0,9.0,0.125,45.0,46.0,iii,4,3,5,9
166,45.625,62.0,9.0,0.125,45.0,46.0,iii,4,3,5,9
167,45.75,62.0,9.0,0.125,45.0,46.0,iii,4,3,5,9
168,45.875,62.0,9.0,0.125,45.0,46.0,iii,4,3,5,9
169,46.0,60.0,7.0,0.125,45.0,46.0,iii,4,3,5,9
